,Title,Skill,Company,Location,Salary,Link
10,newJava Developer,Java,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=968272d9af37f334&fccid=33fa1494c1a3ee87&vjs=3
11,Trainee Engineer- SQL/Java,Java,Semperfi Solution,"Bengaluru, Karnataka•Temporarily Remote","₹8,086 - ₹29,418 a month",in.indeed.com/company/Semperfi-Solution/jobs/Trainee-Engineer-ab89e5383f66420f?fccid=b5240b2296d8801b&vjs=3
12,Core Java & Database Trainer,Java,REGex Software Services,Temporarily Remote,"₹35,000 - ₹1,10,000 a month",in.indeed.com/company/REGex-Software-Services/jobs/Core-Java-Database-Trainer-1a2d188dbe266ae3?fccid=163e0c978ea436e4&vjs=3
13,newSupport Engineer - SQL and Java,Java,SAP,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=ca260aca96aab0ea&fccid=156c7820d1988640&vjs=3
14,Freelance JAVA FSD Corporate Trainer,Java,Great Learning,Remote,"₹1,00,000 a month",in.indeed.com/company/Great-Learning/jobs/Freelance-Java-Fsd-Corporate-Trainer-b1af3cef6882797e?fccid=f527933d7e29a057&vjs=3
15,newSupport Engineer - SQL and Java,Java,SAP,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=ca260aca96aab0ea&fccid=156c7820d1988640&vjs=3
16,Freelance JAVA FSD Corporate Trainer,Java,Great Learning,Remote,"₹1,00,000 a month",in.indeed.com/company/Great-Learning/jobs/Freelance-Java-Fsd-Corporate-Trainer-b1af3cef6882797e?fccid=f527933d7e29a057&vjs=3
17,Java Developer,Java,EduRun,"Warangal, Telangana+5 locations","₹5,00,000 a year",in.indeed.com/company/EduRun/jobs/Java-Developer-670c14a28b24e1c8?fccid=5c8d26c3b70ef950&vjs=3
18,newSoftware Engineer - Java,Java,Siemens Technology and Services Private Limited,"Pune, Maharashtra+2 locations",Not Specified,in.indeed.com/rc/clk?jk=6fd04ea4cd90bc4d&fccid=ea6bb53f0b18b8f2&vjs=3
19,newJava Developer,Java,TalentXo,"Bengaluru, Karnataka•Temporarily Remote","₹8,00,000 - ₹25,00,000 a year",in.indeed.com/company/TalentXo/jobs/Java-Developer-4ad6e14d8e07c431?fccid=ae772cb7fba9f93a&vjs=3
20,Java J2EE Development,Java,Educazione Pvt. Ltd.,"Kolkata, West Bengal•Temporarily Remote","₹10,000 - ₹20,000 a month",in.indeed.com/company/Educazione-Pvt.-Ltd./jobs/Java-J2EE-Development-e5b9f469c0e06c66?fccid=1364226fee675bca&vjs=3
21,Software Engineer – Java,Java,Motorola Solutions,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=6b371a43132642a2&fccid=22ec6ef3cc441ac2&vjs=3
22,newJava Developer,Java,ECode Dash,Remote,"₹5,00,000 - ₹15,00,000 a year",in.indeed.com/company/ECode-Dash/jobs/Java-Developer-727b726820421fdd?fccid=5949ab200a9a3d4c&vjs=3
23,Java (Freshers),Java,Advanced Technology Consulting Service (ATCS),"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=e5eb6152c1fc15f3&fccid=56301517d698516a&vjs=3
24,"newSoftware Engineering- (JS,HTML, Java+Springboot)",Java,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=c12e946b006d46bb&fccid=aaf3b433897ea465&vjs=3
25,newFresher computer engineer,Java,infon solutions,"Kolkata, West Bengal","₹15,000 - ₹30,000 a month",in.indeed.com/company/infon-solutions/jobs/Fresher-Computer-Engineer-1c360825ff7c1bd8?fccid=45f70c7e04822abe&vjs=3
26,newJava Developer (1 - 10 years),Java,Morgan Stanley,"Mumbai, Maharashtra+1 location",Not Specified,in.indeed.com/rc/clk?jk=d9f1fc7d9cae03ff&fccid=0c39fb2c91742dcf&vjs=3
27,newJava Developer,Java,Neeha IT Services India Pvt Ltd,"Visakhapatnam, Andhra Pradesh•Temporarily Remote","₹3,21,600 - ₹5,00,000 a year",in.indeed.com/company/Neeha-IT-Services-India-Pvt-Ltd/jobs/Java-Developer-8dae0f1a9273fafc?fccid=9152305e005dbba1&vjs=3
28,Core JAVA Developer,Java,Oracle,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=7a107eb2995cedfb&fccid=cd22d01053af7669&vjs=3
29,Java/JavaScript internship,Java,EPT,"Bengaluru, Karnataka•Remote","₹5,000 - ₹8,000 a month",in.indeed.com/company/EPT/jobs/Java-Javascript-Internship-c6b7f2dcf88aa035?fccid=ba7f4d4a7b0a2a15&vjs=3
30,Java Developer,Java,Global Groupware Solutions Limited,"Gurgaon, Haryana•Temporarily Remote","₹20,000 - ₹50,000 a month",in.indeed.com/company/Global-Groupware-Solutions-Limited/jobs/Java-Developer-4a83ac346ef81e02?fccid=faaed61f6b7094b3&vjs=3
31,Java Developer ON FREELANCE BASIS,Java,Digital Enbit,"Kolkata, West Bengal•Remote","₹22,209 - ₹1,03,215 a month",in.indeed.com/company/Digital-Enbit/jobs/Java-Developer-Freelance-Basis-6db8e9f51439d6cc?fccid=59c7910c79438ee9&vjs=3
32,newSr Java Developer J2EE,Java,Varite India Private Limited,"Bengaluru, Karnataka","₹40,000 - ₹80,000 a month",in.indeed.com/company/Varite-India-Private-Limited/jobs/Senior-Java-Developer-J2EE-6ae42324d4a5e011?fccid=ac08eb65b3d94396&vjs=3
33,Developer Associate JAVA (1-3 YEARS),Java,SAP,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=da3162c32f50f697&fccid=156c7820d1988640&vjs=3
34,newSoftware Engineering - Core Java - VP,Java,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=a53e4c73e94c6b5b&fccid=aaf3b433897ea465&vjs=3
35,Java/Angular Developer,Java,Oracle,"Bengaluru, Karnataka+1 location",Not Specified,in.indeed.com/rc/clk?jk=84f93788473833bf&fccid=cd22d01053af7669&vjs=3
36,newWFH - Java Developer - Contract Position,Java,"eNation Solutions Pvt. Ltd.,","Chennai, Tamil Nadu•Remote","₹6,00,000 - ₹20,00,000 a year","in.indeed.com/company/eNation-Solutions-Pvt.-Ltd.,/jobs/Wfh-2284a6684a059f24?fccid=6e5906855525fa5a&vjs=3"
37,"Java Software Engineer, Trilogy (Remote) - $30,000/year USD",Java,Crossover,"New Delhi, Delhi•Remote","₹1,75,000 a month",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bp-pWyh_yd7-BMq_HjiKF8q-wDEEHI6K3EhZcTze0zElYaqgGHyM4XUtM4Jk-pLsWQeZ8I1AtdDglIqk-mfc8dAy8iVVhfSihIVQeYaqd4RMidXcN01qLJ8zIOML7C-U9ghAjXbF-vxNI2OSBlYzhZiiTK63MrioXjMWSo3KvpHqZslxALsQhvvm7rMBsRM5bhD0tU7cmtpti3zTZpMeej93ANR1vwIM1SlsJERfTlmSpCx44uz4s3ZLtVXXVDLqP-vR46J4V7SVDs8Z6IyK3soYM65lYlSxkPZbqBCuQxKNw6zc3AU33ObuwHV61PUXquBDIc9bYRWchiq23ba1FyiSefUDmFZncz9ZleC04lUhxEBYZdG5ZMdZ1DyBcJpOASjhxbD8kuatdlgHeCnRvjVxrtEYUFBHtqCPmGuR3PjiY7C8lyDM-vxDrAl2XIL0ot3ccyBqtUrNc-EJXbjqzoVlw8ZReYRXnROo87ljUGSI-xl2q_Z1JcEofJ9__tJd2cK7mLiaHCL9TkPmoS2yQ40z3y2o0mShi5RnIiM09egV6pT7AD5ky5Li1R_o6Ya0hoifNLs1tgiZ01tQHBxgxMwgSzznOZqkwFSRa96yAHNwXW-GjW3fCjo3MD2Hz1kA8=&p=7&fvj=0&vjs=3
38,newJava Developer,Java,Barclays,"Pune, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=8556f8ecc0c0eb91&fccid=057abf3fd357e717&vjs=3
39,"newQA Automation with JAVA, REST API & Python",Java,Oracle,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=4ba854d13a76d957&fccid=cd22d01053af7669&vjs=3
40,Java Jr Prog,Java,CGI Inc,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=2bfe581f22717ab3&fccid=43a69183767d4301&vjs=3
41,newSenior Java Developer,Java,Luxoft,+2 locationsRemote,Not Specified,in.indeed.com/rc/clk?jk=d6f7eb4ee43164b3&fccid=4b841d912d46e4fd&vjs=3
42,Java Developer,Java,Nihilent,"Kolkata, West Bengal",Not Specified,in.indeed.com/rc/clk?jk=367f5c81d8fc31bd&fccid=d25b81641b46bd1c&vjs=3
43,Junior Software Engineer,Java,Codearts solution pvt ltd,"Kolkata, West Bengal",Not Specified,in.indeed.com/company/Codearts-solution-pvt-ltd/jobs/Junior-Software-Engineer-94dbadb684ac27f0?fccid=37143f35fd56b18e&vjs=3
44,newSoftware Developer,Java,CCLMS MANAGEMENT COLLEGE,"Contai, West Bengal","₹18,924 - ₹27,541 a month",in.indeed.com/company/CCLMS-MANAGEMENT-COLLEGE/jobs/Software-Developer-df7385b1d5bd1222?fccid=624628cdb1c91f5a&vjs=3
45,Java Engineer,Java,WHealthyfy HealthTech Private Limited,"Thane, Maharashtra","₹3,00,000 - ₹4,50,000 a year",in.indeed.com/company/WHealthyfy-HealthTech-Private-Limited/jobs/Java-Engineer-ce7519827816bcfb?fccid=f28d5eb37f381fbe&vjs=3
46,JAVA- 2018/2019/2020/2021/2022,Java,Vibry Business Solutions,"Bengaluru, Karnataka","₹25,000 - ₹1,00,000 a month",in.indeed.com/company/Vibry-Business-Solutions/jobs/Java-ec172442b2909661?fccid=0fb298fe97ff615d&vjs=3
47,Java Developer,Java,Openkoding Private Limited,"Bengaluru, Karnataka•Remote","₹1,00,000 a month",in.indeed.com/company/Openkoding-Private-Limited/jobs/Java-Developer-273fdcff269fdd3e?fccid=eebe586ca82df8af&vjs=3
48,newJava Full Stack Developer,Java,First Voice Pvt. Ltd,"Pune, Maharashtra•Remote","₹16,00,000 - ₹20,00,000 a year",in.indeed.com/company/First-Voice-Pvt.-Ltd/jobs/Java-Full-Stack-Developer-966c0e9f67783da6?fccid=4005016862304f86&vjs=3
49,newJava Developer,Java,29AAGCC4051L2ZF,"Bengaluru, Karnataka","₹30,000 - ₹40,000 a month",in.indeed.com/company/29AAGCC4051L2ZF/jobs/Java-Developer-d6a58adce1566cee?fccid=5380232c72946c65&vjs=3
50,newFull Stack Engineer,Java,Somosotech IT Co Limited,Temporarily Remote,"₹9,12,000 - ₹40,52,000 a year",in.indeed.com/company/Somosotech-IT-Co-Limited/jobs/Full-Stack-Engineer-99acca722ce54583?fccid=9f270b4ac4973530&vjs=3
51,Freshers-Goa-Nov2021,Java,Elait,Goa,"₹3,60,000 a year",in.indeed.com/rc/clk?jk=513aea14d55dc287&fccid=76a921e7bb9025ff&vjs=3
52,Java Developer,Java,Visual IT Solutions Pvt Ltd,"Hyderabad, Telangana","₹15,00,000 a year",in.indeed.com/company/Visual-IT-Solutions-Pvt-Ltd/jobs/Java-Developer-4af07ff81456a8eb?fccid=b72c9ed7499e9ecd&vjs=3
53,newFRDC-RDT-CRD-Java Developer-Hyderabad,Java,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",Not Specified,in.indeed.com/rc/clk?jk=9de3ebedfea1079a&fccid=aaf3b433897ea465&vjs=3
54,newDeveloper Associate-JAVA and NodeJS(1-3yrs),Java,SAP,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=e6d992098260fd9e&fccid=156c7820d1988640&vjs=3
55,newJava Fresher ( 2016/2017/2018/2019) Batch,Java,Sightspectrum technology solutions private limited,"Chennai, Tamil Nadu","₹9,999 - ₹10,000 a month",in.indeed.com/company/Sightspectrum-technology-solutions-private-limited/jobs/Java-Fresher-Batch-f025188b06f800b6?fccid=5d65e97998841914&vjs=3
56,newJava Developer,Java,Wikasta Business and Technical Solutions Pvt. Ltd.,"Bengaluru, Karnataka•Temporarily Remote","₹8,00,000 - ₹12,00,000 a year",in.indeed.com/company/Wikasta-Business-and-Technical-Solutions-Pvt.-Ltd./jobs/Java-Developer-3bc858ec969df980?fccid=4024d9e9402fe233&vjs=3
57,Java Developer,Java,FA Software Services Pvt Ltd,"Chennai, Tamil Nadu","₹30,000 - ₹60,000 a month",in.indeed.com/company/FA-Software-Services-Pvt-Ltd/jobs/Java-Developer-93ae2106c265c1d8?fccid=805b756953fb1ba7&vjs=3
58,Subject Matter Expert for Java,Java,Educazione Pvt. Ltd.,"Kolkata, West Bengal•Temporarily Remote","₹12,500 - ₹18,000 a month",in.indeed.com/company/Educazione-Pvt.-Ltd./jobs/Subject-Matter-Expert-Java-2df8d5ec6c39de73?fccid=1364226fee675bca&vjs=3
59,newMachine Learning,Java,Cybage,Remote,Not Specified,in.indeed.com/rc/clk?jk=f079ac4078186f92&fccid=6a24090dc97c36b2&vjs=3
60,Data Engineer (Python / SQL) - FlexTCA,Python,FlexTrade,"Pune, Maharashtra",Not Specified,in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDHrnzcWy2E2Fjasf1jA9ZsMwPZbzDmoUJmEds5VEDdysPFHShWYYLVOQBfIzS0ISbgDkS-5NrtIuRCsspeBUxbTT8jpYKsZlgOqrfFriMchrwWesVdzDdaV5gWl59pB6CIlfWQmP1FofT14IMXo171211ibFCKnqI9Qd1ruLZaM581vHGValZwpwpAp2wXRrAieX8K1NNIiQpRVAfmgx6Dc5q39ffrtxT6Va2efPPXGXsdMZo7shfWhXDgKND3zSfjNTlmo1EU0kazkih9E176mVBYsyW2X1APMWBUyfQW2cIQPA73fekoF8rRCmtol6n8VGJ___zsiY8xERgMiBsxXUMJqDVCICtOxMBSXg7LZU92kLspXqJA4TOqPFYkQysXsYhpMusz8oJEP3Fvy00hNVewb5kJVbF3ve9MOrarrH9d9WDOYE0feRIYl9DmpGuQjr48CMdEjaX_IqQwhDRvsYw5fkZpaSu6kiIY06O0b_MTaV46MpGVIYelnerXUQHpeqNQumGqJlmihuRCiIR&p=0&fvj=0&vjs=3
61,"Python Developer(""2-5"" years) Work from Home",Python,Maplelabs,"Bengaluru, Karnataka•Remote","₹12,429 - ₹60,824 a month",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ALD04RKTFglTitvs6CEKIjQPPFgnE6uigjHUjV016zeMCht1aUrW-olGCV1v6lsJ3SjMx2mLjQJq46cHIRH6J9uk0sNfXLrjY5xVU_5HeTdwxLD2E7Pqr-6izdH3U8QhDcpIR2ZZVuh_1LEqXXs5-nFi890MWxWgvtze8yHhmhEOSUm7KQ-xf07uUTC35E1zv59zQurgLKZtNrkCCMJU5ytzbotmKrOQa4yze3PyTk2CwfeG6jkfelIBRo8INtfpFF8iisc3eD-ECRMTb8xc1yCzEICZtoYPgHUFWMu0ZNXd76K4hmQIqPW6puYlJwNJH7qj67Iwiq-8xiPQfzSqDiDKZ8G9UOL0gPEqwY9dldXuxFXSw1-n70Y4G3PsM96ZfF4ZueHq5DtCVHBel7TDJcaDPSmSrCkMy5Ts5WT17wnCYQoNSwMj0u79CA2SHlOYd3CbN5mgCOzI5KdJOToN36FvfGY8oGyNGx89z1N9JU7w==&p=1&fvj=1&vjs=3
62,Software Engineer,Python,Indeed,"Hyderabad, Telangana","₹21,60,000 - ₹32,40,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWhcgmADz_twSLwem2iYl2ct_LZF9UYK3pCI3i-FPPnqqtU4kkHUEqIz-u3u4oWG17E2P-q2X1k60bEAGzt_KuzfuRJLzKgmuwOjqBZC2OQs6uIHhUa4VkKCnTk0iCyal47wtIlQPfq_nXjF9n_yVrOzonKTtEj4DMxv4QCUelOm5SYWs3veoTg1R0lmzUxSHmlEIX1iD1pMFjTucS1Tdscr8ittfeWcOtNSQHVxIJYE6XFNYoXZMhuSDqEZeJr4sDAHrAU61pXuIQESuDZK9J3n7acb-XyC_WmmrHpHVzRzp7SIxS6j7N4zS3C87S5-FL_VjRwlR2I0gb5PHGkQF5plMp60wF3-5UFhznFC0XQOb2yc846tGNVhyzWA3D1_M3xnPUk8qlW5b0JR9OByU17Lz0-8n2t-Q_v62Y-Kb6Vyd267Mo3SQ7Z31TxdkLd-UexPV2r39A7hon992EtFyg6T_1fDbxpVhhcKeXaCd2jAL9f7RLYNke98q4-IR_BR4ED4uVP8mgB_PyPo8lYaZx&p=2&fvj=0&vjs=3
63,newLead Python Developer,Python,StartUs Insights,Temporarily Remote,"₹13,12,488 - ₹26,25,144 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAN88MX9AoL9ncJEpEtD0Zz0JBZLoGox1b2BDssbm-dmlEQg_2_j3c3VhelAOMsjFA35Fn9CgT1MyOM-uACoGRY2eyfRYI8tGtxfeQewGA18paaKALx5U5gijHND0cqaYcZQe-MxIIt_zFm5Z4kDfr_ou3Uk6upJ12f7suYjAsU-uAiS6pmTzon9sQ0OJASXHagtoBvKiUn_Wk1hC19FBqUkidIpS2qPiNEb_DGiDy74XbPtIfW0SIFXfGmSQNTsXa-JrIeC30Q2j3-IlhJQqsfEzu5XxmBhRWdFX37cdAoI0ZjJYv1G4dn3i33_l7kpyyzr47eTevCj1NTIGJ0YR6PXz5AI8Ou9l4JELDwiP4k8sUrzNJHwZplQXDuwayM0d2ZiW8zdBwydtSgTuk9TuMC7NylTzb9wCB4ml-CkaI9Gu37qgJV_ff89PW66En2eCc1WvFjjfqHhWQaMTdHxWQ&p=3&fvj=1&vjs=3
64,newPython Fullstack Developer,Python,StartUs Insights,Temporarily Remote,"₹8,75,052 - ₹17,50,332 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAN88MX9AoL9ncJEpEtD0Zz0JBZLoGox1b2BDssbm-dmlEQg_2_j3c_r-KKRq5CmVu6fPBp_IpxhLl0aLDhShYVgDOvQi8hgJvuGw-qwYlKkoC_XK3mJz4WvKu5c4cZz-1MdaZntKx2DzR6QDRoQsqiJ1ZtO9nn9cXqsUk31xouyMK55-8bEIT2SMlyUBBBIGwbPJ409fXx5mTiaabiSE5mbusP7TMoj6KNSr8Qiv8cipscRFw11FCCcGtSp5kqDthNJ29hgpcKoPsT7j-Ad1p0tFtVDZo2qeQrH1biw5iUh7p98ZODxMdFdVCBY8HRhFm5horGXjGplmINU8FjBGIcvu4jr86Mqy_X6lrO3ity82Mm5TnL7attlsQtLkjagomxTvdaxyKY0fkvThKja1SObS9Kss37QQsDg2pIxC_KariH6F0GWfGFOlAKEeLP8G95G5MuQY3cCABBQLpmFM0xxMyGzLDfs8=&p=4&fvj=1&vjs=3
